code,name,valumn,percent
91117,中國化學,91746550,1.85%
91118,海南橡膠,7140045,0.18%
91126,四方股份,1679262,0.20%
91127,小康股份,579292,0.32%
91128,常熟銀行,7475028,0.74%
91139,深圳燃氣,15512531,0.54%
91155,新城控股,9578433,1.33%
91158,重慶水務,5088764,0.10%
91163,三角輪胎,202879,0.07%
91166,興業銀行,220892040,1.15%
91168,西部礦業,10412917,0.43%
91169,北京銀行,197843198,1.08%
91179,中國西電,4255840,0.08%
91186,中國鐵建,55384063,0.48%
91198,東興證券,6512982,0.23%
91199,江南水務,699578,0.07%
91200,上海環境,1705258,0.25%
91208,東材科技,195587,0.03%
91211,國泰君安,62813191,0.83%
91212,白銀有色,2757444,0.14%
91216,君正集團,20315651,0.24%
91218,吉鑫科技,2694023,0.27%
91222,林洋能源,2205826,0.12%
91225,陝西煤業,79857454,0.79%
91226,華電重工,1667974,0.14%
91228,廣州港,7047701,0.48%
91229,上海銀行,115129568,2.21%
91231,環旭電子,11323902,0.52%
91233,桐昆股份,21346354,1.26%
91238,廣汽集團,8475436,0.13%
91258,龐大集團,2252334,0.03%
91288,農業銀行,855207261,0.29%
91311,駱駝股份,8142003,0.95%
91318,中國平安,592667388,5.47%
91326,秦港股份,467300,0.08%
91328,交通銀行,331663628,0.84%
91330,綠色動力,10100,0.00%
91333,廣深鐵路,110096993,1.94%
91336,新華保險,13334831,0.63%
91339,百隆東方,14514115,0.96%
91360,三六零,1594664,0.40%
91368,綠城水務,552645,0.07%
91369,陝鼓動力,2295312,0.14%
91375,中原證券,5077515,0.28%
91377,興業證券,28260187,0.42%
91388,怡球資源,380,0.00%
91390,中國中鐵,70161052,0.37%
91398,工商銀行,817420383,0.30%
91515,東風股份,9073312,0.81%
91555,東吳證券,12655732,0.43%
91566,九牧王,250494,0.04%
91567,三星醫療,2423174,0.17%
91588,北辰實業,12342601,0.46%
91595,上海電影,220781,0.20%
91600,中國鋁業,55217151,0.50%
91601,中國太保,58511855,0.93%
91607,上海醫藥,14025919,0.72%
91608,中信重工,2605622,0.06%
91611,中國核建,4503325,0.46%
91618,中國中冶,53843509,0.30%
91628,中國人壽,26530265,0.12%
91633,長城汽車,24687942,0.40%
91636,旗濱集團,30704795,1.19%
91666,平煤股份,16163400,0.68%
91668,中國建築,386483197,0.92%
91669,中國電建,38357149,0.34%
91678,濱化股份,7594856,0.49%
91688,華泰證券,56105473,1.03%
91689,拓普集團,8366830,3.41%
91699,潞安環能,21098065,0.70%
91700,風範股份,1190632,0.10%
91717,鄭煤機,21686655,1.46%
91718,際華集團,11231643,0.25%
91727,上海電氣,10418136,0.10%
91766,中國中車,119001545,0.51%
91777,力帆股份,2150037,0.17%
91788,光大證券,17971548,0.46%
91789,寧波建工,850360,0.08%
91798,*ST藍科,25342,0.00%
91799,星宇股份,5398355,1.95%
91800,中國交建,27488594,0.23%
91801,皖新傳媒,1051908,0.05%
91808,中海油服,4586768,0.15%
91811,新華文軒,615155,0.30%
91818,光大銀行,262888544,0.66%
91828,美凱龍,2458067,0.78%
91838,成都銀行,1722435,0.47%
91857,中國石油,150930729,0.09%
91858,中國科傳,209045,0.10%
91866,中遠海發,16762899,0.21%
91872,招商輪船,680345,0.01%
91877,正泰電器,15939144,0.91%
91878,浙商證券,3514911,0.29%
91880,大連港,3142202,0.04%
91881,中國銀河,8178037,0.66%
91886,江河集團,833283,0.07%
91888,中國國旅,197243067,10.10%
91890,亞星錨鏈,107853,0.01%
91898,中煤能源,12047282,0.13%
91899,紫金礦業,114201263,0.67%
91901,方正證券,1312272443,15.94%
91908,京運通,3915949,0.19%
91918,新集能源,269714,0.01%
91919,中遠海控,33435956,0.43%
91928,鳳凰傳媒,2654149,0.10%
91929,吉視傳媒,1422377,0.04%
91933,永輝超市,110268171,1.35%
91939,建設銀行,415741373,4.33%
91958,金鉬股份,4853110,0.15%
91965,中國汽研,25840,0.00%
91966,玲瓏輪胎,683466,0.17%
91968,寶鋼包裝,85285,0.01%
91969,海南礦業,577368,0.02%
91985,中國核電,38582073,0.24%
91988,中國銀行,613442218,0.29%
91989,中國重工,64511088,0.35%
91991,大唐發電,10586300,0.10%
91992,金隅集團,35513573,0.43%
91996,豐林集團,6955856,0.73%
91997,貴陽銀行,7484946,0.60%
91998,中信銀行,85127981,0.26%
93000,人民網,2780099,0.25%
93001,奧康國際,34,0.00%
93005,晶方科技,119801,0.06%
93007,花王股份,68700,0.03%
93008,喜臨門,802060,0.25%
93009,北特科技,250,0.00%
93019,中科曙光,2007773,0.31%
93025,大豪科技,892250,0.14%
93056,德邦股份,1143143,1.14%
93060,國檢集團,133000,0.20%
93077,和邦生物,28922974,0.32%
93080,新疆火炬,1388,0.00%
93098,森特股份,55533,0.07%
93103,橫店影視,164094,0.30%
93106,恆銀金融,1920,0.00%
93108,潤達醫療,3929059,0.77%
93111,康尼機電,3080337,0.41%
93113,金能科技,94100,0.02%
93116,紅蜻蜓,131810,0.02%
93118,共進股份,740416,0.09%
93126,中材節能,490759,0.08%
93128,華貿物流,2542455,0.26%
93157,拉夏貝爾,98400,0.17%
93160,匯頂科技,3189814,1.38%
93165,榮晟環保,254134,0.57%
93167,渤海輪渡,76597,0.01%
93168,莎普愛思,282893,0.09%
93169,蘭石重裝,706534,0.06%
93180,金牌廚櫃,159216,0.86%
93188,亞邦股份,699152,0.12%
93198,迎駕貢酒,551338,0.06%
93225,新鳳鳴,1019511,0.85%
93228,景旺電子,176283,0.21%
93233,大參林,1393355,3.48%
93239,浙江仙通,170658,0.18%
93258,電魂網絡,148025,0.22%
93260,合盛矽業,305911,0.43%
93288,海天味業,129566597,4.80%
93298,杭叉集團,247119,0.14%
93300,華鐵科技,569400,0.14%
93305,旭昇股份,420579,0.66%
93306,華懋科技,947288,0.34%
93308,應流股份,252899,0.06%
93328,依頓電子,2628262,0.26%
93337,傑克股份,77550,0.09%
93338,浙江鼎力,8744979,3.84%
93339,四方冷鏈,41876,0.07%
93355,萊克電氣,826624,0.20%
93357,設計總院,21007,0.02%
93358,華達科技,53732,0.05%
93363,傲農生物,56100,0.09%
93366,日出東方,16800,0.00%
93368,柳藥股份,5384071,2.62%
93369,今世緣,4434021,0.35%
93387,基蛋生物,86035,0.09%
93399,吉翔股份,2800,0.00%
93421,鼎信通訊,10099,0.02%
93444,吉比特,49751,0.12%
93508,思維列控,120067,0.18%
93515,歐普照明,9726555,9.92%
93517,絕味食品,554047,0.33%
93528,多倫科技,15749,0.00%
93533,掌閱科技,50289,0.12%
93555,貴人鳥,296493,0.04%
93556,海興電力,581703,0.34%
93567,珍寶島,311887,0.03%
93568,偉明環保,1077966,0.15%
93569,長久物流,188854,0.23%
93579,榮泰健康,116518,0.22%
93585,蘇利股份,245510,0.45%
93588,高能環境,2054136,0.31%
93589,口子窖,10257309,1.70%
93595,東尼電子,12138,0.03%
93599,廣信股份,509504,0.13%
93600,永藝股份,210942,0.08%
93603,博天環境,12000,0.00%
93609,禾豐牧業,2418952,0.29%
93612,索通發展,105818,0.05%
93616,韓建河山,86,0.00%
93618,杭電股份,62779,0.00%
93619,中曼石油,3628,0.00%
93626,科森科技,49811,0.03%
93628,清源股份,70676,0.07%
93639,海利爾,239886,0.44%
93658,安圖生物,4836524,3.54%
93659,璞泰來,195212,0.30%
93660,蘇州科達,101003,0.04%
93669,靈康藥業,286058,0.07%
93686,龍馬環衛,299261,0.11%
93698,航天工程,472346,0.11%
93699,紐威股份,476260,0.06%
93707,健友股份,27110,0.00%
93711,香飄飄,19709,0.04%
93727,博邁科,5746,0.00%
93728,鳴志電器,2343187,1.33%
93730,岱美股份,44297,0.05%
93737,三棵樹,190639,0.44%
93757,大元泵業,47178,0.13%
93766,隆鑫通用,2984712,0.14%
93776,永安行,6300,0.01%
93777,來伊份,13635,0.01%
93798,康普頓,132874,0.15%
93799,華友鈷業,6745127,0.82%
93803,瑞斯康達,63490,0.02%
